PC1,PC2,EmotionLabel
-1993.9417,291.74054,HAPPINESS
-24514.87,-4163.503,SADNESS
27518.934,-23626.262,ANGER
69786.516,12090.62,FEAR
-81092.06,20225.521,SADNESS
-80952.67,-14447.204,HAPPINESS
-80258.37,-9840.334,HAPPINESS
13160.967,2286.2358,LOVE
40838.55,3847.4617,LOVE
61868.812,29728.416,FEAR
97265.43,3234.5896,FEAR
-32078.68,7923.559,SADNESS
17007.656,-47586.652,HAPPINESS
-22165.113,12479.401,SADNESS
-63144.918,-6851.5103,SADNESS
69872.69,21605.426,FEAR
20065.531,-24664.36,SADNESS
29466.818,-42805.117,ANGER
-65636.68,29760.223,SADNESS
4984.69,30511.54,HAPPINESS
-85036.77,-24910.846,HAPPINESS
47753.406,-62079.406,FEAR
35292.09,-36759.242,HAPPINESS
78283.96,-62384.258,ANGER
17561.102,-3601.6306,ANGER
68493.77,33133.953,FEAR
75842.5,36065.12,FEAR
-16734.07,781.5775,HAPPINESS
14358.327,-11932.526,HAPPINESS
81265.22,43413.926,FEAR
12607.524,-23333.75,LOVE
-20189.58,15170.949,HAPPINESS
-31350.434,20281.91,SADNESS
-47173.11,8220.637,SADNESS
-40497.758,542.0872,LOVE
-331.87457,7511.877,LOVE
-49245.543,-193.13046,SADNESS
-527.1599,8457.678,LOVE
7622.0737,25428.09,HAPPINESS
-48331.68,-3967.0674,SADNESS
91871.84,9662.277,FEAR
-21991.238,25826.555,SADNESS
-23187.094,7976.245,LOVE
-50285.688,6409.3223,SADNESS
-14741.323,26155.113,HAPPINESS
29587.854,-70136.63,HAPPINESS
10674.708,-3325.5999,LOVE
-77115.65,31862.9,LOVE
58330.793,40336.824,HAPPINESS
14873.614,-10232.172,ANGER
-80956.016,-19287.658,SADNESS
-65852.71,38055.97,SADNESS
6487.589,2385.2944,LOVE
79877.0,35794.453,HAPPINESS
4204.924,-15955.934,ANGER
1535.4185,-71551.34,FEAR
-16808.594,14967.824,SADNESS
56499.684,27766.342,FEAR
-19178.555,-1420.629,HAPPINESS
-13354.664,11777.184,HAPPINESS
-12762.024,-25458.95,SADNESS
-21858.998,-36995.16,HAPPINESS
285.3182,-13538.279,SADNESS
5937.3916,15494.788,SADNESS
-19366.77,-3948.9597,HAPPINESS
54692.586,25410.396,FEAR
16364.352,23501.361,HAPPINESS
-5867.7583,8107.832,LOVE
23903.025,13836.539,ANGER
9800.023,96101.86,FEAR
-2895.371,7540.7954,SADNESS
11944.749,-25806.957,LOVE
1039.4248,35369.54,SADNESS
45417.594,-12472.888,HAPPINESS
-106655.31,-9607.286,HAPPINESS
63735.57,-14985.19,ANGER
58381.375,5357.9355,FEAR
61294.67,-15837.658,HAPPINESS
-14719.237,58659.176,FEAR
74375.54,-26700.959,FEAR
52770.695,26742.307,FEAR
56193.934,49331.727,FEAR
-20370.79,10670.797,HAPPINESS
90732.836,-45987.266,ANGER
96148.26,-48969.32,ANGER
32563.336,-3103.6355,ANGER
9069.63,-3565.9846,HAPPINESS
-71459.7,-34350.324,SADNESS
-87404.02,-13358.0205,LOVE
69007.51,-46009.336,ANGER
33149.242,-30237.197,HAPPINESS
-51043.605,-40096.145,SADNESS
9485.94,-28929.504,FEAR
-71526.61,-22644.24,LOVE
41526.08,69502.55,HAPPINESS
-10406.366,-14122.994,SADNESS
5617.8184,14817.477,LOVE
50963.46,-49174.668,SADNESS
-20411.543,21299.45,SADNESS
-70695.86,-28799.293,SADNESS
45956.875,41516.46,FEAR
-46383.93,-5113.631,SADNESS
21565.236,-2909.7944,LOVE
21945.486,13957.991,LOVE
-65808.44,-27618.998,SADNESS
45605.773,47543.168,FEAR
-38722.35,-19094.72,SADNESS
-37852.19,-7818.5464,LOVE
-78419.59,-12155.792,SADNESS
-62329.242,-13501.063,LOVE
75164.94,-59250.81,HAPPINESS
5348.851,-16775.842,FEAR
86783.93,-52063.73,FEAR
15180.345,-6196.432,HAPPINESS
-8005.4375,-10233.937,HAPPINESS
58579.15,-33089.934,HAPPINESS
-3896.1318,38286.273,LOVE
-20806.766,-13718.426,SADNESS
-62067.492,-24763.775,LOVE
-71953.734,-1865.2024,SADNESS
-2358.2468,-16370.536,HAPPINESS
-213.70299,8369.451,ANGER
73622.78,14428.199,FEAR
-13251.193,27046.75,HAPPINESS
8016.3535,421.44128,HAPPINESS
-34777.016,21869.535,SADNESS
59164.832,31654.734,FEAR
-5258.202,42739.59,SADNESS
-36482.52,-1084.7479,SADNESS
-63117.996,18039.25,LOVE
44363.77,-73180.06,ANGER
69802.04,11090.904,FEAR
-17344.912,484.40695,SADNESS
-25305.02,22695.744,HAPPINESS
-38180.027,7698.4907,HAPPINESS
16025.642,-56696.44,SADNESS
8587.015,-20461.734,SADNESS
82217.42,11244.239,FEAR
63423.28,34369.54,FEAR
-84299.77,-9448.182,HAPPINESS
52385.15,-7430.928,FEAR
6457.837,40329.645,SADNESS
6999.398,24098.707,LOVE
4940.237,-78648.43,HAPPINESS
2883.74,-44374.7,FEAR
-9490.606,-47850.05,HAPPINESS
42271.797,-13767.792,SADNESS
-17306.31,-60688.727,SADNESS
77175.195,156.72566,FEAR
44296.61,-10411.713,FEAR
-6993.6055,26267.012,SADNESS
-11167.964,-32807.805,ANGER
-88133.67,5496.699,HAPPINESS
-11560.107,-67332.555,FEAR
28288.393,-18373.154,LOVE
-66826.83,27966.113,SADNESS
75475.87,15895.989,ANGER
63818.094,-14376.345,FEAR
4474.1367,24422.936,SADNESS
80982.92,18816.252,HAPPINESS
-17643.658,14131.13,LOVE
-37335.043,-53531.656,FEAR
-26871.209,-8777.722,FEAR
3126.7542,-22984.1,ANGER
-22806.37,14708.25,SADNESS
-36660.906,-42120.375,ANGER
-8298.341,8505.141,SADNESS
69651.9,-13497.881,FEAR
-10862.557,-18080.932,HAPPINESS
-21483.053,23851.977,LOVE
17752.75,6663.422,LOVE
-8278.622,-7637.9746,HAPPINESS
16759.828,-14207.946,SADNESS
78397.85,-24368.383,FEAR
-7013.6724,25484.383,HAPPINESS
-17528.836,1532.0381,SADNESS
-48801.77,27180.475,SADNESS
-2903.627,18441.152,HAPPINESS
64286.12,7736.0405,FEAR
-28142.479,-44772.992,FEAR
27487.824,-83746.9,FEAR
18755.535,13520.398,SADNESS
-22771.184,9520.102,SADNESS
-65473.176,21638.744,LOVE
51793.977,23605.236,FEAR
64523.22,26194.186,SADNESS
-10259.779,-1970.8611,SADNESS
-14042.326,-9159.944,FEAR
-87779.89,36074.31,LOVE
-289.23532,-6677.1274,FEAR
55085.83,29178.719,HAPPINESS
63375.87,30598.77,HAPPINESS
-8162.7695,-71724.39,FEAR
5667.153,3149.84,HAPPINESS
70986.35,20981.752,FEAR
-24617.23,4169.9824,SADNESS
58788.547,11632.314,FEAR
30583.89,-79291.86,FEAR
-5197.0767,-17938.826,FEAR
-7462.6104,13885.02,HAPPINESS
-92398.91,-4535.3965,HAPPINESS
-34499.21,-20194.135,SADNESS
-26003.328,-15954.54,LOVE
48145.49,-22189.037,FEAR
52442.89,-13641.156,FEAR
-14560.198,57778.57,FEAR
-81558.305,-11263.518,SADNESS
7975.0024,-3635.1558,HAPPINESS
-50214.566,-19994.906,SADNESS
-424.3479,10429.772,LOVE
11689.353,792.7239,SADNESS
56470.504,-31792.473,HAPPINESS
-11563.49,-37898.43,HAPPINESS
-92245.414,-25896.3,LOVE
3688.0425,10116.931,HAPPINESS
-4375.4585,-10686.026,ANGER
66951.39,-26244.748,SADNESS
-19773.225,-15660.233,SADNESS
306.82376,11522.58,HAPPINESS
-93816.01,5074.276,SADNESS
41530.68,58769.84,HAPPINESS
-2154.3604,5307.689,LOVE
3832.8865,17056.73,SADNESS
32610.697,-58520.492,ANGER
62703.414,-59762.703,FEAR
28609.766,19304.236,HAPPINESS
52599.17,35885.18,FEAR
46457.688,39544.867,FEAR
47493.33,-41673.06,FEAR
-34141.145,15190.0,SADNESS
29939.781,-15818.152,ANGER
-81197.875,6550.9536,SADNESS
-9280.232,11916.945,HAPPINESS
-54595.688,5123.493,HAPPINESS
53159.254,38891.73,FEAR
-9193.96,-21001.607,SADNESS
54478.92,-41428.29,FEAR
28856.13,-65708.21,FEAR
-86923.3,-39487.55,SADNESS
-73527.055,-16834.764,SADNESS
-70053.08,-3642.6846,HAPPINESS
15889.093,-45498.418,SADNESS
-58232.39,26952.41,SADNESS
-32722.018,27987.193,HAPPINESS
-20221.818,34982.4,HAPPINESS
82001.98,2563.928,FEAR
22491.912,-25009.125,ANGER
10749.348,28895.188,HAPPINESS
60976.664,41827.324,FEAR
-18183.8,2850.8145,SADNESS
-9067.787,4150.501,HAPPINESS
-78836.37,-7216.347,HAPPINESS
60614.805,30028.652,ANGER
5333.4126,6670.895,ANGER
9919.276,26802.922,ANGER
74405.4,26054.176,ANGER
-81581.61,16454.02,LOVE
3949.22,-20179.734,ANGER
-64756.348,19042.234,SADNESS
-91437.89,8014.9136,SADNESS
-9524.728,-20148.473,SADNESS
52810.336,-2420.8665,FEAR
-42733.16,-4817.4985,SADNESS
-2367.527,6521.619,SADNESS
-15426.677,-13813.783,HAPPINESS
12865.803,47524.46,SADNESS
-16673.512,-19440.52,HAPPINESS
58681.316,-33839.723,FEAR
-86385.41,-2467.3281,HAPPINESS
53487.715,-32968.31,SADNESS
14335.194,53052.312,ANGER
65007.137,-5166.8667,FEAR
-18369.006,-44007.82,SADNESS
19465.988,15192.835,HAPPINESS
349.679,-1414.0317,HAPPINESS
-42811.18,-14380.908,LOVE
3985.4016,-10919.127,LOVE
-15281.044,-4346.4907,HAPPINESS
-13343.696,11996.85,HAPPINESS
-2926.4993,-43089.24,HAPPINESS
-8695.832,-12180.856,LOVE
-7047.807,-11323.783,HAPPINESS
59028.387,-40587.996,HAPPINESS
-77879.64,-11092.342,HAPPINESS
-30582.588,76441.22,FEAR
56945.91,-10793.419,ANGER
-7076.6265,-11477.395,HAPPINESS
-1549.7627,-2210.5183,HAPPINESS
7647.822,-42467.66,LOVE
22692.969,25635.617,HAPPINESS
29226.484,16014.0625,SADNESS
-21879.773,5964.3315,HAPPINESS
105.97252,2376.9827,HAPPINESS
7177.437,22062.518,SADNESS
70608.02,-5079.0605,FEAR
57709.5,-15024.205,FEAR
-5048.896,-4100.158,FEAR
-40444.727,-42232.11,SADNESS
-80729.086,-29611.674,SADNESS
-20568.523,-27579.055,SADNESS
-17888.08,-6334.461,SADNESS
65384.74,-25620.121,ANGER
76889.48,-17229.072,FEAR
-4053.386,-34054.324,SADNESS
5156.598,-4851.453,LOVE
74789.58,-18677.092,SADNESS
58852.48,12026.623,FEAR
-5249.238,-7107.017,SADNESS
-32782.164,-9864.407,SADNESS
75405.2,-31532.203,ANGER
-66122.26,-25207.771,SADNESS
-64174.668,-28554.172,SADNESS
7419.465,-4609.928,HAPPINESS
-9680.975,6509.046,HAPPINESS
-72500.336,-34129.695,LOVE
12921.445,-6630.2393,LOVE
-28329.31,-35654.246,SADNESS
-14037.839,-12165.778,SADNESS
-53456.504,3385.9084,SADNESS
-29133.72,44998.8,FEAR
-54768.133,-1749.6018,SADNESS
58511.977,-21933.594,SADNESS
-56769.05,-17912.861,LOVE
-106683.54,-5867.3325,LOVE
-21286.518,-17551.453,SADNESS
-8122.7217,24549.512,LOVE
5959.6973,64912.21,FEAR
47088.65,-43062.605,ANGER
-68374.46,-3869.138,SADNESS
36845.668,19406.867,ANGER
61132.582,-29653.867,ANGER
2388.1318,58546.96,FEAR
-4921.3086,53732.027,FEAR
-14343.469,14030.39,HAPPINESS
-81266.34,-14041.158,SADNESS
-68766.77,1812.9705,SADNESS
-74187.164,88.90391,SADNESS
-25858.836,-6580.689,LOVE
-66431.88,-14023.524,HAPPINESS
-44092.996,-1336.0583,SADNESS
76800.67,-37026.99,FEAR
9567.653,30788.975,ANGER
-37655.723,-30457.78,HAPPINESS
72804.625,-41995.09,ANGER
23741.979,1669.1493,HAPPINESS
-68392.56,-27335.715,HAPPINESS
-61922.23,-22038.488,SADNESS
12908.783,-30952.908,LOVE
-11532.095,-30761.861,HAPPINESS
1726.9972,-322.2329,LOVE
-22427.963,-6576.459,HAPPINESS
-40145.582,-12905.86,SADNESS
19677.732,-4199.246,FEAR
71347.516,-31391.305,HAPPINESS
2449.4568,14244.055,ANGER
-2956.0469,-19027.426,HAPPINESS
-68176.12,-23600.45,SADNESS
-9157.492,-10148.289,SADNESS
4885.4414,-8941.976,HAPPINESS
-66724.54,-17062.863,SADNESS
61245.453,-32732.975,FEAR
27499.857,42901.242,HAPPINESS
50492.62,-52516.87,FEAR
-44018.145,9573.076,LOVE
-82757.12,10023.026,SADNESS
-267.75937,-4460.609,ANGER
68123.375,55809.17,ANGER
59158.207,-37992.566,FEAR
71334.766,27123.021,ANGER
40341.848,-50459.434,HAPPINESS
-86460.305,9714.327,SADNESS
24868.58,56776.32,HAPPINESS
70431.2,58867.69,ANGER
-73727.99,12073.09,SADNESS
16366.467,5163.508,SADNESS
23037.172,59572.812,FEAR
-89044.61,27284.312,SADNESS
25062.822,11612.064,ANGER
-56195.395,-19457.97,HAPPINESS
39031.402,-24776.25,FEAR
59507.53,8414.641,FEAR
59983.44,10100.219,SADNESS
-12158.03,17535.336,SADNESS
-68046.3,18959.63,LOVE
16378.685,21683.58,LOVE
-3340.9524,21918.604,HAPPINESS
56386.996,-817.89136,FEAR
50088.863,15970.547,HAPPINESS
-2851.6023,8612.665,SADNESS
-94942.734,3605.087,HAPPINESS
-48988.047,22868.729,SADNESS
-76043.51,32303.021,LOVE
10855.074,-9172.109,HAPPINESS
54551.293,25084.06,FEAR
-91876.2,9101.274,SADNESS
75389.305,34598.574,ANGER
18376.879,-4875.708,HAPPINESS
-7966.139,-34594.887,FEAR
-8514.681,28667.41,HAPPINESS
-22604.979,-14231.853,HAPPINESS
61123.453,69834.31,HAPPINESS
-24491.219,3710.7456,LOVE
18558.908,1132.2302,HAPPINESS
68843.36,24430.582,FEAR
-6884.5483,1006.8242,LOVE
46224.254,-50787.953,ANGER
-17311.299,-6035.964,HAPPINESS
64657.83,41855.484,FEAR
67894.49,-61761.46,ANGER
15575.126,-7835.1,SADNESS
56502.414,45472.47,FEAR
-24512.201,17672.365,ANGER
43092.285,-55262.973,ANGER
63752.812,-63563.812,HAPPINESS
-68156.08,-29167.13,HAPPINESS
70692.57,-57911.79,ANGER
1721.5037,134.28104,LOVE
64413.746,30477.43,FEAR
-28745.324,-7049.4443,SADNESS
55274.23,40094.625,FEAR
62070.57,30423.0,FEAR
66267.305,42661.066,FEAR
29171.43,-81071.695,FEAR
72838.42,1977.5096,FEAR
63480.066,12088.734,FEAR
-58981.062,8377.636,SADNESS
-38677.945,21299.951,LOVE
44964.324,-35472.99,SADNESS
15956.975,-61099.453,SADNESS
21486.277,20634.89,LOVE
55543.7,2445.8882,FEAR
71824.0,21960.568,SADNESS
-9562.876,2754.8884,SADNESS
-27753.895,7103.4688,SADNESS
-10599.477,12093.866,LOVE
-3100.9158,5935.968,LOVE
7499.9097,19225.518,ANGER
-28158.115,8480.913,FEAR
-53341.816,20052.75,SADNESS
112.85851,34843.176,SADNESS
48747.18,31753.088,SADNESS
-31451.184,19886.744,SADNESS
-7815.737,-24130.023,HAPPINESS
-44793.297,-4322.3403,SADNESS
-31551.207,14585.349,HAPPINESS
-9036.714,-2519.5283,SADNESS
-87479.35,24169.258,LOVE
82758.14,11090.955,FEAR
-14547.891,-19432.012,HAPPINESS
4575.344,4117.4795,FEAR
