PC1,PC2,EmotionLabel
-8268.667,5287.887,LOVE
-6388.4526,441.4525,SADNESS
48327.74,36656.06,HAPPINESS
14456.703,-53467.4,ANGER
33788.4,26706.926,SADNESS
33587.28,51905.01,HAPPINESS
41338.562,32251.637,SADNESS
11785.764,10390.041,HAPPINESS
-29646.844,15575.653,ANGER
26315.979,33400.73,SADNESS
-15332.383,-2384.7822,FEAR
-7966.9087,-1790.062,SADNESS
2661.44,22470.059,HAPPINESS
31537.465,-49529.42,ANGER
-20619.363,-72046.97,FEAR
42771.273,-44563.688,ANGER
-69263.96,5462.901,FEAR
-98352.336,-355.4207,SADNESS
28406.096,-48271.164,SADNESS
-59137.535,31860.205,FEAR
-44213.4,-6171.166,SADNESS
24670.023,87215.5,LOVE
-49279.38,-624.5587,HAPPINESS
31624.965,-48489.566,FEAR
-42979.902,43981.312,SADNESS
18339.34,-23146.27,SADNESS
12803.043,-46492.637,SADNESS
-48469.51,8573.839,SADNESS
15390.218,64020.527,ANGER
-58330.305,-20711.69,HAPPINESS
-24677.842,-3085.713,SADNESS
20052.945,-21610.566,SADNESS
-51918.594,-6531.331,SADNESS
80396.72,21141.463,HAPPINESS
75382.01,-35179.375,ANGER
-1661.5428,7394.564,HAPPINESS
14891.725,29775.266,LOVE
55872.145,21761.254,FEAR
-49772.414,-7669.5913,LOVE
-47550.855,17832.68,LOVE
-56337.168,5193.4585,FEAR
61707.07,-3568.9531,SADNESS
8283.125,-54487.996,SADNESS
-96126.38,-24714.535,SADNESS
-71126.71,-42835.297,FEAR
-49889.215,21408.385,FEAR
76555.63,-10403.421,HAPPINESS
-78420.03,-13071.348,FEAR
11056.573,-43368.035,HAPPINESS
-65459.95,-1503.6432,FEAR
44242.63,-23208.91,LOVE
36718.203,44434.652,ANGER
34719.9,-32608.246,SADNESS
64142.1,-21495.525,HAPPINESS
-10429.673,-7553.4585,ANGER
-82242.61,-13735.616,HAPPINESS
-15252.593,51994.766,ANGER
6334.35,14496.982,LOVE
72957.48,-11582.614,HAPPINESS
-60243.715,16495.918,FEAR
-21813.664,-16304.717,LOVE
-32985.5,29795.469,ANGER
-18688.744,-38349.51,HAPPINESS
61365.67,5574.0195,HAPPINESS
40828.36,40175.89,SADNESS
