PC1,PC2,EmotionLabel
55828.76,-11076.461,ANGER
33088.14,19472.604,ANGER
-38695.867,6013.372,HAPPINESS
-16093.525,-4919.538,SADNESS
21881.791,43704.0,FEAR
-57141.53,-20315.361,HAPPINESS
-18409.154,15500.021,ANGER
-33338.574,-18907.848,SADNESS
-14498.703,843.2187,SADNESS
17897.436,28529.646,ANGER
-23696.736,-20021.012,SADNESS
80589.664,-34044.285,LOVE
57965.047,-14165.0205,SADNESS
-40897.258,-19332.152,SADNESS
-40410.164,-5454.8145,HAPPINESS
-35064.39,-5656.128,FEAR
43492.793,-34491.188,HAPPINESS
-928.3895,51542.83,FEAR
-910.6393,-37370.85,HAPPINESS
9340.654,60149.016,FEAR
21243.588,8395.866,FEAR
-18558.598,20254.172,LOVE
85120.73,34499.703,HAPPINESS
-48898.047,9991.949,SADNESS
13069.663,-21452.402,HAPPINESS
58773.734,-22031.19,ANGER
23935.623,-21471.246,FEAR
-31778.986,-46.682213,HAPPINESS
29746.137,7237.2227,FEAR
-17764.457,-12815.781,SADNESS
-37032.18,-24395.22,ANGER
26708.55,17071.895,ANGER
-36460.367,24040.2,HAPPINESS
30227.014,28551.477,FEAR
13332.108,-83550.06,FEAR
10853.069,-6060.8916,FEAR
10665.934,-9930.3955,HAPPINESS
-54991.88,8803.293,SADNESS
9569.933,13656.802,HAPPINESS
-24729.98,12643.171,LOVE
-18935.197,-27306.137,SADNESS
-21045.918,-36756.99,HAPPINESS
-31734.436,-13557.465,SADNESS
-10336.592,-21510.61,HAPPINESS
-2141.0352,46567.664,HAPPINESS
-53758.03,7492.7305,HAPPINESS
44861.035,54264.215,FEAR
99487.516,-74316.336,HAPPINESS
-31177.883,4038.0105,HAPPINESS
27573.865,-41491.965,HAPPINESS
-42935.043,-1025.2037,SADNESS
-50938.242,-9161.246,SADNESS
6547.4507,17410.195,LOVE
-36921.535,-10629.717,SADNESS
-40660.082,-4277.339,SADNESS
27351.22,12253.767,SADNESS
-49538.832,-2457.1794,SADNESS
27802.133,-6031.999,HAPPINESS
23462.924,59420.84,FEAR
36448.906,52513.49,FEAR
-14799.369,38959.812,FEAR
-3547.1377,-28437.01,HAPPINESS
-7394.097,-13170.161,HAPPINESS
8562.465,42120.22,HAPPINESS
12601.661,11214.323,FEAR
-55659.703,49973.12,FEAR
-22378.352,-33392.934,SADNESS
45036.656,1312.3451,HAPPINESS
-14170.055,-15835.043,HAPPINESS
-24342.436,661.565,ANGER
-32865.805,-19431.791,LOVE
30082.2,7474.5703,SADNESS
-25185.62,-48220.8,SADNESS
-61215.09,40195.63,FEAR
5763.894,16109.352,SADNESS
45467.062,16766.244,ANGER
-35700.996,-34828.33,SADNESS
4962.17,19043.354,SADNESS
57458.656,7041.084,FEAR
-11844.95,48277.44,FEAR
-22518.053,14780.872,FEAR
27155.494,-12595.228,SADNESS
6685.1104,-230.70256,SADNESS
-20796.812,37763.566,SADNESS
-21270.418,1440.4526,LOVE
-81332.414,-52370.254,FEAR
-29549.174,-23889.92,FEAR
22630.303,-14560.239,HAPPINESS
-49291.832,13626.579,ANGER
-4541.374,24514.334,SADNESS
108903.38,-15104.385,HAPPINESS
-4579.3687,27103.473,LOVE
-20821.232,27485.906,LOVE
36107.992,-9564.211,ANGER
56228.445,-7427.072,ANGER
-3295.3723,37967.945,HAPPINESS
-24935.871,33918.23,HAPPINESS
-36069.453,-51382.09,FEAR
-4662.658,25112.74,HAPPINESS
-15471.895,1386.9424,SADNESS
14892.745,-18411.201,HAPPINESS
-48347.582,-225.48497,SADNESS
61959.55,12389.86,SADNESS
37397.965,40855.418,ANGER
40544.344,-28433.572,FEAR
56087.863,-20136.615,ANGER
38095.75,-34229.96,FEAR
17126.729,40850.367,SADNESS
30211.992,9451.359,FEAR
27715.547,-45553.133,FEAR
29688.977,28572.613,ANGER
66657.98,41438.1,HAPPINESS
-37155.85,13525.183,HAPPINESS
-56421.16,-7378.864,HAPPINESS
14401.033,-28544.014,HAPPINESS
-17634.17,18183.867,SADNESS
19614.408,-72001.68,FEAR
