PC1,PC2,EmotionLabel
931.39923,21601.695,HAPPINESS
50759.363,25287.459,SADNESS
19145.904,21631.18,SADNESS
-28911.67,13314.004,ANGER
-67626.07,-21126.658,HAPPINESS
-24400.49,29382.521,FEAR
48438.1,-19541.979,FEAR
19995.459,4133.4253,FEAR
54305.57,-22665.11,SADNESS
28353.28,9744.049,SADNESS
-12752.241,-2064.6868,HAPPINESS
14565.514,-15212.112,FEAR
52918.29,-32030.023,SADNESS
-60822.434,-23938.799,SADNESS
-8808.015,-18759.898,SADNESS
-4067.3003,-17223.404,FEAR
-16697.598,20968.24,LOVE
-40303.74,24320.186,ANGER
-59099.723,-13187.343,ANGER
34076.695,15367.033,SADNESS
-7804.476,-9276.761,FEAR
-22571.08,-20291.385,FEAR
-60660.74,12885.701,LOVE
4781.1753,13541.866,HAPPINESS
1431.3202,9748.017,HAPPINESS
-36834.676,-33476.805,ANGER
489.5489,11842.42,ANGER
41262.11,18.979849,SADNESS
54305.93,-18153.48,SADNESS
52117.023,-16377.282,SADNESS
4576.704,16354.728,FEAR
21621.508,-10479.728,SADNESS
-46010.89,2072.3962,ANGER
55995.27,-11592.673,SADNESS
6707.35,-11092.328,SADNESS
-28054.576,-17219.672,ANGER
31713.742,-7732.2793,HAPPINESS
-75342.49,-17610.533,ANGER
-3790.6592,-14985.432,FEAR
-29168.375,-4161.2563,FEAR
23149.992,8879.694,LOVE
-28368.914,35013.55,ANGER
-380.55515,-3473.0095,HAPPINESS
-51456.4,-25924.836,HAPPINESS
-12654.376,15768.997,FEAR
-13150.356,9485.003,ANGER
-25575.666,-19255.076,HAPPINESS
54807.69,-22997.4,HAPPINESS
21666.291,18936.96,HAPPINESS
35545.805,9778.756,LOVE
2434.9175,18497.674,HAPPINESS
-33559.11,5755.342,ANGER
5066.1357,23599.293,LOVE
-11816.991,-12458.21,HAPPINESS
-78558.94,-26754.896,HAPPINESS
-34839.355,20154.578,FEAR
53950.66,-23287.822,SADNESS
42561.84,-12692.469,SADNESS
25104.816,-13632.942,FEAR
23703.363,17183.52,HAPPINESS
17355.768,-27607.742,FEAR
15916.112,9668.023,SADNESS
-51990.65,-15340.672,HAPPINESS
-25537.85,8093.579,HAPPINESS
33535.29,36242.6,LOVE
26835.771,-3996.4692,LOVE
21403.79,15228.317,HAPPINESS
-9312.139,8926.99,FEAR
-10903.353,-24015.3,HAPPINESS
21388.637,8893.273,FEAR
58354.414,-25572.219,LOVE
-37949.09,-40075.4,HAPPINESS
3074.6519,-13685.169,ANGER
-32800.355,20627.457,SADNESS
6016.7256,-14452.048,FEAR
54789.957,-25792.658,SADNESS
45609.0,20011.256,LOVE
-53384.914,-2980.5815,LOVE
-38651.777,18367.654,LOVE
16120.297,-14906.031,HAPPINESS
38436.99,21104.113,SADNESS
-34757.92,-4281.265,FEAR
-29894.26,-14882.032,ANGER
19621.406,-2149.7385,FEAR
41303.527,-28656.965,SADNESS
19544.045,-24684.408,SADNESS
-17795.936,-16931.555,HAPPINESS
43113.23,16222.094,ANGER
14163.433,-202.42693,FEAR
35041.14,-23074.568,SADNESS
10251.723,-14670.33,HAPPINESS
11124.608,8136.5215,FEAR
26102.092,-21071.79,LOVE
-24957.408,-727.31616,HAPPINESS
-7593.2666,-26327.635,FEAR
29337.324,-17875.07,SADNESS
-28888.898,21853.785,HAPPINESS
26635.307,-5192.389,HAPPINESS
-30200.732,-21159.996,ANGER
46451.168,24992.395,SADNESS
44116.58,8124.978,ANGER
11225.186,16908.31,FEAR
-16666.559,-15366.144,ANGER
19439.072,-7241.828,LOVE
-57243.203,24338.879,HAPPINESS
14624.688,7422.729,HAPPINESS
32508.271,10441.398,LOVE
8896.614,-17902.932,SADNESS
53802.504,34112.39,FEAR
27867.67,-30547.684,HAPPINESS
18594.668,20855.09,FEAR
5150.406,26994.66,FEAR
9341.501,8282.835,FEAR
6322.4316,-14949.667,LOVE
-58687.91,26422.771,ANGER
13827.461,29143.385,FEAR
-31669.97,-12305.885,HAPPINESS
24898.74,-27101.008,SADNESS
-14083.404,-6492.137,HAPPINESS
-27267.0,-10583.188,SADNESS
20795.121,-9818.71,HAPPINESS
-24000.885,7400.9644,FEAR
20899.777,-25147.75,LOVE
49066.496,-19794.418,SADNESS
20876.508,17334.525,HAPPINESS
-191.59929,14724.577,HAPPINESS
4194.8794,15910.313,ANGER
39866.117,23985.496,SADNESS
13792.556,-4461.879,LOVE
48890.453,-25963.172,HAPPINESS
-53964.168,11291.3,SADNESS
38205.895,-2440.6445,LOVE
49516.418,-27071.293,SADNESS
3855.2666,25330.783,SADNESS
-20481.47,-1033.3601,FEAR
-47084.434,-7341.014,SADNESS
56142.496,23448.45,SADNESS
-29303.457,-23004.62,ANGER
-19842.088,-15634.582,ANGER
-31392.283,-35209.33,FEAR
14202.675,-14385.2705,FEAR
12374.56,17203.527,SADNESS
-12630.622,14385.649,LOVE
-16991.756,4665.877,ANGER
10984.408,-36076.902,HAPPINESS
-21513.695,12636.369,HAPPINESS
19672.303,22863.166,LOVE
-6327.1807,-1566.7325,HAPPINESS
-51155.22,11719.804,FEAR
-44463.457,-6011.085,FEAR
6817.562,8950.383,SADNESS
-11482.028,5751.0493,FEAR
-7548.943,12694.547,LOVE
-9912.343,2885.5034,LOVE
53446.516,8235.755,SADNESS
8023.197,26485.697,LOVE
539.46954,18862.25,HAPPINESS
3948.7632,36099.11,HAPPINESS
59273.812,-4702.117,SADNESS
13039.485,30360.246,SADNESS
13812.19,-9262.222,HAPPINESS
52928.445,15155.421,HAPPINESS
24368.266,4459.4585,SADNESS
14660.988,-4238.1294,SADNESS
4989.9683,-1672.7587,FEAR
-3186.1377,-18642.158,SADNESS
-60688.805,-10899.726,LOVE
3133.807,-31054.912,FEAR
13407.767,5209.723,LOVE
29372.662,10208.026,SADNESS
-9991.055,-24337.83,ANGER
-45974.055,17462.69,SADNESS
-8881.766,-11401.372,ANGER
25151.297,13690.755,SADNESS
-15742.146,-402.67892,HAPPINESS
-5100.714,-18662.914,FEAR
-44166.65,13371.226,SADNESS
7359.773,565.96295,LOVE
43060.023,-24720.316,LOVE
11838.613,-3570.8818,HAPPINESS
-13063.618,-15081.672,SADNESS
48263.027,-24025.44,SADNESS
30591.814,15425.64,SADNESS
32677.193,29420.158,SADNESS
-16512.26,14870.367,HAPPINESS
-34663.57,4524.218,SADNESS
11470.862,-7177.232,HAPPINESS
9181.664,13783.031,LOVE
-8240.846,27159.45,LOVE
7204.107,13474.056,LOVE
-25103.031,23962.455,FEAR
-43441.73,-24559.025,SADNESS
-22318.96,-9902.613,HAPPINESS
-66312.414,-16425.959,HAPPINESS
658.3083,5132.4707,FEAR
26166.6,14587.007,LOVE
37194.78,-34046.863,SADNESS
-37491.242,18394.809,SADNESS
48624.305,16376.871,SADNESS
49948.844,-19757.168,LOVE
-13514.866,-8734.691,FEAR
-135.85957,-22055.986,SADNESS
48157.562,29499.4,SADNESS
9955.037,14906.526,FEAR
-3834.3167,-10954.206,FEAR
30559.508,-17002.441,SADNESS
-21378.676,22989.465,FEAR
10869.712,13901.761,ANGER
27900.082,-1732.6812,LOVE
-8113.047,31047.379,SADNESS
32343.762,-38607.527,SADNESS
41947.832,22548.162,FEAR
-68084.836,20594.89,HAPPINESS
14938.244,-27653.582,SADNESS
3495.632,15685.544,FEAR
42984.477,17921.857,ANGER
55243.816,14282.92,SADNESS
-25912.37,-13981.899,HAPPINESS
18171.488,4540.133,FEAR
-22248.39,23046.312,HAPPINESS
13911.912,12612.553,SADNESS
-47841.676,45279.477,FEAR
32677.99,17830.367,SADNESS
29252.434,5675.026,SADNESS
-1492.7472,-28391.256,FEAR
7214.231,13725.066,HAPPINESS
312.3292,-19578.646,FEAR
-36438.02,35515.5,FEAR
5647.5576,8019.107,FEAR
36475.07,16522.01,SADNESS
35382.836,28341.732,SADNESS
49286.215,20018.834,HAPPINESS
-23819.379,-27.094158,SADNESS
-7432.9917,-8966.844,HAPPINESS
-4536.4824,9360.691,LOVE
-4157.3784,6341.8105,FEAR
29801.832,5447.702,LOVE
-21631.645,21100.246,HAPPINESS
-7816.438,8533.578,HAPPINESS
16332.275,7706.7617,LOVE
7677.315,-3724.89,LOVE
22294.855,24637.432,SADNESS
-31366.92,4196.9624,SADNESS
10134.534,-8827.605,FEAR
-10119.469,-20815.846,SADNESS
43993.887,-40555.023,SADNESS
-36312.035,19450.037,FEAR
17639.258,26271.03,HAPPINESS
-29724.201,-2027.2804,LOVE
-56645.465,-25212.658,HAPPINESS
-21457.85,9599.906,FEAR
43482.77,17269.807,HAPPINESS
6486.989,-15974.836,HAPPINESS
-47893.99,8263.951,FEAR
-24285.922,21944.92,ANGER
-53908.09,-13549.542,HAPPINESS
36480.16,-17593.621,LOVE
1728.7198,11794.453,LOVE
29862.377,14728.582,HAPPINESS
1428.1918,-23117.848,FEAR
28534.814,18502.727,SADNESS
-40570.46,12317.858,ANGER
-37031.96,-33171.176,SADNESS
33686.566,-12356.938,LOVE
-73243.76,-18189.775,SADNESS
-67267.336,-16887.982,ANGER
-31543.357,9214.504,SADNESS
-5730.622,-11842.312,FEAR
-31521.076,27424.637,FEAR
2842.8662,4199.73,SADNESS
974.65137,-35539.508,FEAR
35944.375,-5061.751,HAPPINESS
45952.07,-32936.547,ANGER
28342.562,1044.6797,SADNESS
11949.607,-12035.573,HAPPINESS
2730.6663,-10031.8,ANGER
-298.81537,17396.936,SADNESS
-27894.012,11085.105,FEAR
-1177.0533,-16166.158,FEAR
12810.828,-5174.3384,HAPPINESS
589.5423,-9178.212,HAPPINESS
41905.95,627.9104,HAPPINESS
-1838.8529,7248.7466,FEAR
42198.746,8296.702,SADNESS
32739.627,8678.181,HAPPINESS
-30188.027,-14840.502,HAPPINESS
-86775.17,-5733.641,ANGER
29951.6,18914.773,SADNESS
27208.527,-2054.9268,LOVE
-47626.555,14540.886,HAPPINESS
46938.094,-19113.637,SADNESS
22251.19,221.49939,LOVE
28173.65,24179.238,SADNESS
51.112934,-24656.16,FEAR
-60451.863,-22378.637,SADNESS
39282.914,-27869.793,SADNESS
-29230.258,21276.25,ANGER
-2174.4885,5217.237,FEAR
41256.004,-19519.219,SADNESS
13164.243,-960.71075,SADNESS
-37200.777,-14080.724,FEAR
25996.1,-36418.02,SADNESS
32953.918,-40309.188,SADNESS
-51330.43,5713.0957,SADNESS
33148.633,-13617.96,LOVE
32713.234,-2498.3928,ANGER
-53248.105,4483.144,SADNESS
5988.1655,24296.9,SADNESS
1088.981,-5785.989,FEAR
58091.938,1993.8813,SADNESS
25292.492,16523.553,FEAR
33569.28,-24000.363,HAPPINESS
63291.71,25675.021,FEAR
56507.42,23672.389,SADNESS
5412.873,22739.16,ANGER
10872.053,-31111.602,SADNESS
1921.959,-24311.572,LOVE
11782.032,-8866.676,HAPPINESS
-2617.079,-7373.768,HAPPINESS
49731.246,6705.8823,ANGER
-34774.09,-26815.305,SADNESS
44798.215,-32698.682,ANGER
27535.217,10271.109,SADNESS
-43845.207,36783.883,FEAR
15152.145,13089.357,HAPPINESS
-5378.034,14460.033,HAPPINESS
-1628.1837,-34350.188,SADNESS
28853.758,15539.128,SADNESS
-273.06964,1779.2964,FEAR
32144.922,-34395.562,SADNESS
43111.36,18586.58,SADNESS
-38941.297,7916.694,SADNESS
2837.6047,-14619.427,HAPPINESS
11030.91,14286.057,SADNESS
-42907.906,-10694.172,HAPPINESS
-62353.016,-55.167236,SADNESS
-2509.484,-15782.756,FEAR
21347.07,12657.512,SADNESS
