PC1,PC2,EmotionLabel
58424.582,3296.3896,SADNESS
962.95984,230.26627,ANGER
-59109.973,-49032.12,HAPPINESS
56631.234,-2063.4004,ANGER
40718.816,-9645.019,SADNESS
-1532.5968,12522.225,SADNESS
-65736.164,39405.59,ANGER
12478.216,2063.712,ANGER
24897.69,-31196.146,SADNESS
-13775.388,4347.6133,FEAR
7770.667,1686.929,FEAR
24408.613,-10392.9,LOVE
-1726.0446,6665.3413,FEAR
52993.25,2990.5562,SADNESS
7315.025,22685.902,HAPPINESS
-40921.277,30191.482,ANGER
-14512.816,13638.0625,SADNESS
-46564.254,-41736.09,LOVE
-6423.074,13861.153,SADNESS
-36299.188,-9519.912,ANGER
5553.3564,-6856.6367,FEAR
38396.453,19883.525,HAPPINESS
19130.129,9868.257,SADNESS
1206.6676,-37662.793,HAPPINESS
6230.508,-12919.41,FEAR
-91778.055,9237.782,SADNESS
-21402.543,18502.824,HAPPINESS
23818.547,-15170.285,FEAR
15800.7705,-44009.957,SADNESS
-33127.17,36832.69,LOVE
-585.48846,20490.5,SADNESS
2780.8328,54802.87,ANGER
-53059.184,-1961.6602,HAPPINESS
-65042.965,1642.961,HAPPINESS
8882.498,-10244.573,FEAR
32465.527,2299.9807,FEAR
-47794.84,71.693146,HAPPINESS
-36872.94,-10989.583,SADNESS
57274.445,39193.9,HAPPINESS
9723.105,-3639.0718,ANGER
-62471.97,-4124.4214,LOVE
-56881.426,-18672.943,HAPPINESS
-16067.516,37153.305,ANGER
-25980.703,46869.227,FEAR
42672.07,49757.77,HAPPINESS
-57595.566,-1098.4901,HAPPINESS
17303.643,5971.9683,SADNESS
27781.012,-2322.624,FEAR
13212.137,-40368.504,SADNESS
20676.068,-13939.618,SADNESS
51049.734,39660.52,HAPPINESS
6920.0083,-1085.6296,FEAR
20470.99,3556.3767,FEAR
14248.763,18883.11,FEAR
4303.8457,-19961.676,FEAR
30753.215,-37630.664,SADNESS
16478.486,3931.335,HAPPINESS
-29546.428,44592.383,FEAR
24544.217,-25998.146,ANGER
32781.48,-4084.2725,HAPPINESS
-68039.55,-9574.504,LOVE
-72599.73,-8623.65,SADNESS
7788.584,-35071.1,HAPPINESS
8464.838,34445.957,HAPPINESS
-35293.535,8804.415,SADNESS
40082.78,-3616.6567,FEAR
-72744.766,-32164.865,LOVE
-83511.664,-39698.113,SADNESS
-18344.18,41021.72,ANGER
-35523.934,18659.479,LOVE
13351.292,-18653.678,HAPPINESS
34122.285,24374.297,HAPPINESS
8255.199,6037.1836,SADNESS
-10303.557,17019.934,FEAR
-68035.32,-19999.865,LOVE
38935.965,-458.43915,HAPPINESS
60590.902,-28431.812,HAPPINESS
57992.27,-54694.824,HAPPINESS
49979.83,-39293.15,SADNESS
17738.484,-1210.93,FEAR
835.70374,10029.02,LOVE
-50547.668,37416.18,FEAR
1329.4392,32541.938,HAPPINESS
-45281.434,-50386.773,SADNESS
-45355.562,31193.588,FEAR
12466.396,8552.19,FEAR
27922.549,-5191.8423,ANGER
30818.723,-14456.643,SADNESS
-8795.131,13349.773,SADNESS
57664.863,-4931.589,SADNESS
5633.5703,14572.258,SADNESS
12892.391,17873.26,LOVE
4085.1577,13112.388,FEAR
3933.5183,56983.21,HAPPINESS
59481.742,-27879.39,LOVE
-57300.52,17930.242,FEAR
-29961.566,6197.241,SADNESS
-3918.6804,-19018.69,HAPPINESS
-60302.47,-65492.2,SADNESS
36744.285,3152.8323,FEAR
-57801.06,33.519043,LOVE
26736.441,-15611.846,ANGER
10363.655,30454.924,HAPPINESS
70672.86,-15815.93,SADNESS
9016.249,26018.605,SADNESS
22855.875,35273.992,HAPPINESS
-41051.406,39697.273,FEAR
12088.333,-18275.547,HAPPINESS
-369.5107,417.0329,SADNESS
-7264.883,10866.338,ANGER
-41041.812,12050.892,FEAR
-52452.29,-19762.28,FEAR
24736.682,18881.785,SADNESS
-3032.6755,-26021.432,HAPPINESS
24746.564,2065.801,FEAR
19583.824,15668.402,SADNESS
-61803.633,-18417.754,SADNESS
21257.102,-23174.828,ANGER
-8953.316,-2295.792,FEAR
10438.074,-176.28656,FEAR
11279.212,-9455.743,FEAR
27053.04,10281.737,FEAR
21886.635,-16681.992,HAPPINESS
16693.559,33695.28,LOVE
13622.459,-25875.67,HAPPINESS
-26827.27,-20059.941,LOVE
-49226.53,-7936.8555,LOVE
-28299.951,-20151.984,SADNESS
-80350.15,12488.45,SADNESS
-25627.645,-22944.062,LOVE
34156.633,31240.73,LOVE
28808.615,40194.51,LOVE
21163.328,44400.047,HAPPINESS
23658.498,-20159.008,HAPPINESS
-57887.47,17574.799,LOVE
-69610.41,-1883.1957,LOVE
-84710.64,22799.719,LOVE
1738.2056,-29101.693,HAPPINESS
14254.6,-18142.123,HAPPINESS
24556.207,-26917.316,HAPPINESS
22182.09,4731.782,SADNESS
41498.03,30460.992,LOVE
-29541.605,-33933.668,FEAR
-45860.46,24706.613,SADNESS
62977.715,32062.969,LOVE
-42701.418,7148.6104,SADNESS
-9337.246,-32398.295,LOVE
-73327.92,-21729.34,FEAR
15195.696,-28879.861,FEAR
-39680.57,11024.153,LOVE
26518.568,-60122.914,HAPPINESS
4556.1826,-15288.937,HAPPINESS
-67054.19,40186.637,FEAR
42893.52,-18542.898,SADNESS
-24905.223,-38999.715,FEAR
-36005.527,3972.2854,LOVE
20323.955,26393.332,HAPPINESS
36563.285,-11975.938,SADNESS
9521.365,472.13943,SADNESS
10598.162,23662.66,HAPPINESS
27775.69,4685.255,FEAR
26110.996,-713.30286,FEAR
50469.81,-44091.12,SADNESS
10546.417,-28373.156,HAPPINESS
-41414.523,8542.71,LOVE
-6574.1353,-37772.945,FEAR
32122.191,21322.047,LOVE
18017.11,22282.121,HAPPINESS
7784.736,26879.307,HAPPINESS
2212.024,56908.15,ANGER
27437.506,-22855.898,LOVE
-66134.72,40332.734,HAPPINESS
-98273.875,-8789.046,SADNESS
21646.488,4654.4834,FEAR
20698.906,-32164.473,SADNESS
76478.37,56037.67,HAPPINESS
32272.361,-7333.4717,FEAR
19784.768,2227.7327,HAPPINESS
-45536.797,-7179.8037,HAPPINESS
41217.79,-7940.0815,HAPPINESS
27082.764,8547.15,FEAR
-66029.5,1540.6632,HAPPINESS
12755.678,-1593.5032,SADNESS
11272.552,10844.946,LOVE
46917.973,32508.232,HAPPINESS
-74302.68,-5458.371,SADNESS
-7286.491,19350.234,HAPPINESS
-75393.1,5160.1914,SADNESS
13002.05,-8415.584,ANGER
7614.7734,-7038.6963,FEAR
-30817.182,41691.418,FEAR
-37853.215,-4804.1265,HAPPINESS
20740.152,-3181.1191,FEAR
-17609.635,44842.438,SADNESS
66531.69,3715.7686,SADNESS
-68504.94,-2758.7754,SADNESS
39726.094,16040.811,LOVE
-88772.586,-1957.8418,SADNESS
-14521.87,39956.04,FEAR
33229.785,-5351.445,LOVE
24713.982,-8100.951,SADNESS
37253.36,14101.856,HAPPINESS
22946.95,-1474.4907,FEAR
7809.3813,-36703.44,SADNESS
229.23027,516.69293,ANGER
29670.584,-20591.01,ANGER
-4858.6436,-48514.42,FEAR
6689.586,-2675.9688,FEAR
1477.5977,19278.918,SADNESS
32277.605,26441.965,SADNESS
-55068.332,-15229.207,LOVE
-29247.316,-1333.6195,SADNESS
-61697.004,-22890.248,FEAR
-43802.836,-9818.652,LOVE
4269.8447,-26545.21,ANGER
-67140.86,-4610.2114,SADNESS
35392.984,-15125.821,SADNESS
53304.348,-53541.645,SADNESS
-16058.108,39483.043,FEAR
37585.492,16324.055,HAPPINESS
27191.217,-27683.918,SADNESS
20239.844,17125.764,HAPPINESS
-52474.9,-58667.496,SADNESS
61274.676,-28914.566,SADNESS
-39623.742,-26941.799,LOVE
-43509.195,30379.79,ANGER
13263.324,16998.96,FEAR
13011.122,6103.3765,FEAR
9606.512,17371.76,FEAR
16301.718,21903.936,HAPPINESS
-61288.105,12866.961,FEAR
31608.277,17147.04,FEAR
10310.907,8430.9,HAPPINESS
38913.6,-17309.152,LOVE
15835.759,-11100.014,HAPPINESS
-24806.746,-27793.701,SADNESS
2758.0435,8492.59,ANGER
69224.49,-3188.475,SADNESS
25855.93,27624.975,SADNESS
-47705.016,35063.53,ANGER
-62481.95,-23044.99,FEAR
26992.336,-1582.6616,LOVE
6173.1924,-17172.941,SADNESS
59024.234,13763.293,ANGER
-30154.654,-49187.465,HAPPINESS
-68895.15,35539.652,SADNESS
17919.455,-9542.337,FEAR
-6218.9746,-20993.527,ANGER
-33157.098,-36120.273,FEAR
-35631.848,26612.121,SADNESS
31964.742,-18148.744,HAPPINESS
31490.553,-13541.189,SADNESS
-54702.562,26829.785,SADNESS
-35809.46,-24322.455,HAPPINESS
-70985.73,45372.855,SADNESS
60696.035,43639.043,SADNESS
32070.74,9795.768,FEAR
34895.45,25665.602,ANGER
32504.383,-854.41956,FEAR
49452.56,-7155.9175,SADNESS
42823.76,20983.436,LOVE
12277.94,6343.2476,SADNESS
-11350.352,14296.566,SADNESS
-43573.4,-32559.164,HAPPINESS
-42470.92,19976.766,ANGER
40974.938,-28852.139,SADNESS
-2318.4983,6635.961,SADNESS
5608.1396,151.03033,ANGER
27345.09,4414.257,LOVE
-6608.441,9852.425,FEAR
13298.525,17886.34,SADNESS
8517.964,23427.086,HAPPINESS
31962.596,-24113.803,HAPPINESS
23722.438,2246.2466,FEAR
-34849.65,32283.412,FEAR
-49603.656,-30672.299,HAPPINESS
-42790.316,33744.934,ANGER
34601.008,11393.963,FEAR
-358.21866,9874.808,FEAR
-48031.984,-14440.048,HAPPINESS
-25023.078,-46791.645,SADNESS
-17136.113,-43347.08,LOVE
-44449.605,-53121.117,LOVE
-50332.566,5427.349,SADNESS
7266.8306,13030.992,SADNESS
7332.287,12412.55,SADNESS
44711.04,-11707.618,FEAR
-43904.355,4959.132,ANGER
-44082.79,49085.49,ANGER
17064.268,40955.25,HAPPINESS
38446.28,-17369.08,ANGER
47398.754,-23293.02,LOVE
20959.564,-38355.15,HAPPINESS
26038.81,7694.5044,ANGER
36424.406,-15991.044,LOVE
30984.43,21881.742,HAPPINESS
-7431.8184,14556.895,HAPPINESS
-40736.715,-34614.684,LOVE
-55386.215,32749.021,FEAR
18521.555,43761.113,SADNESS
25139.996,-91.960434,FEAR
14377.358,7620.423,SADNESS
-42210.504,41478.66,HAPPINESS
35508.016,-33189.477,ANGER
13769.949,-5087.7686,FEAR
-10211.152,16388.021,SADNESS
57367.145,33809.01,SADNESS
31371.865,-22206.11,ANGER
12125.232,-12494.125,FEAR
-75919.92,-34739.766,SADNESS
44378.484,-4528.404,FEAR
-20810.824,-10711.571,HAPPINESS
-40620.434,-1731.4656,ANGER
-32079.367,39375.57,FEAR
2626.8943,532.75507,FEAR
-57649.742,-11136.964,LOVE
15795.886,8443.493,HAPPINESS
18636.818,-8668.065,FEAR
-901.7841,-4332.657,FEAR
21109.799,-5574.798,HAPPINESS
-44346.355,-28367.379,HAPPINESS
37656.945,-23867.303,SADNESS
-47963.727,27918.494,FEAR
61037.062,-38939.75,HAPPINESS
-41351.19,24791.656,ANGER
20213.559,-6996.8843,ANGER
16865.227,-35751.703,HAPPINESS
-2703.8167,4825.463,FEAR
-65661.35,-36165.418,LOVE
2753.4841,29583.809,SADNESS
-61875.24,-39839.504,SADNESS
-32034.602,-41200.05,HAPPINESS
22435.87,36949.85,HAPPINESS
-3557.0952,4019.6467,LOVE
4588.588,20534.621,SADNESS
40606.83,9916.651,FEAR
-51651.344,14159.871,ANGER
58246.277,-37274.363,SADNESS
-33527.633,-11492.541,SADNESS
8348.308,12428.05,SADNESS
17167.389,13382.158,ANGER
-23107.35,1437.3514,HAPPINESS
29708.64,3988.1792,HAPPINESS
66273.96,-9202.028,LOVE
18366.68,10743.884,LOVE
7850.579,3158.4727,SADNESS
-33796.78,-25589.768,LOVE
35067.766,15310.606,SADNESS
38831.973,-16980.564,FEAR
-49421.07,-13182.075,SADNESS
21971.078,23589.984,HAPPINESS
18482.49,16532.793,SADNESS
56711.42,-26518.283,SADNESS
53980.797,-88229.29,SADNESS
52733.164,20521.375,SADNESS
14887.061,16538.47,SADNESS
-92601.72,-17798.771,LOVE
-62756.37,-32889.94,HAPPINESS
24448.043,-37108.883,SADNESS
-1875.0892,6277.2373,ANGER
-32930.27,-33457.777,HAPPINESS
35917.715,-26846.506,HAPPINESS
24275.016,38382.43,LOVE
-71179.71,-42388.188,FEAR
-48448.37,23179.598,HAPPINESS
-68629.414,-17442.34,HAPPINESS
-70867.26,25313.777,LOVE
31382.332,3258.1243,FEAR
-31142.299,29130.533,SADNESS
-29716.059,-26257.713,SADNESS
18745.54,-15027.562,SADNESS
10502.602,-15046.3,HAPPINESS
-86502.984,29139.88,LOVE
13457.651,-21092.207,LOVE
54901.89,43307.176,SADNESS
41297.35,9478.926,FEAR
6364.024,-1780.4072,ANGER
61968.02,-36464.113,HAPPINESS
-39346.254,-33277.875,FEAR
-57470.42,15749.574,SADNESS
-44930.312,-16740.295,HAPPINESS
5238.5234,-41280.37,SADNESS
-57592.094,-14233.325,HAPPINESS
-27582.807,22639.857,ANGER
30870.074,-63864.605,HAPPINESS
-37955.184,-334.40604,SADNESS
-20324.43,-11927.669,SADNESS
-67280.945,-36768.152,SADNESS
-50855.383,-12880.067,SADNESS
18920.977,-48648.598,HAPPINESS
51038.156,-28476.463,SADNESS
11486.703,43847.12,LOVE
-69260.78,4790.9873,HAPPINESS
-25124.15,56001.31,FEAR
20733.006,14633.995,SADNESS
18710.729,-51257.902,SADNESS
-52240.848,-35526.01,LOVE
25130.646,18010.314,LOVE
20518.578,-8000.6343,HAPPINESS
-5773.2183,4028.9062,SADNESS
43394.94,-400.93195,FEAR
10105.223,27560.555,SADNESS
25594.611,5293.5005,FEAR
-72224.67,22975.773,HAPPINESS
-48674.18,23427.277,LOVE
45077.56,29334.47,SADNESS
-55618.707,32445.34,LOVE
6766.729,-18118.24,ANGER
-5404.4077,-19468.518,SADNESS
33438.453,45858.004,SADNESS
-19427.043,-30130.096,FEAR
48712.406,71315.56,SADNESS
-35641.043,-36708.902,FEAR
-23487.39,-39457.406,ANGER
43975.62,-8872.398,HAPPINESS
-48354.426,32758.883,HAPPINESS
19882.28,1942.3666,HAPPINESS
-60630.016,20036.94,HAPPINESS
37538.9,6230.4224,FEAR
-65375.773,30722.318,SADNESS
3528.3865,-16466.07,SADNESS
-22670.395,38892.93,SADNESS
-26235.676,-26510.906,SADNESS
10492.835,40219.773,FEAR
15157.191,-2709.338,FEAR
15077.789,13237.675,LOVE
13955.269,-9244.358,LOVE
30698.371,10268.623,FEAR
-49069.4,-24981.652,FEAR
-57082.4,24715.818,SADNESS
63233.758,-19890.535,HAPPINESS
36798.465,12426.008,HAPPINESS
-61176.97,32687.217,FEAR
-64317.29,23366.527,LOVE
31085.326,-20229.29,SADNESS
-22844.057,-41341.16,HAPPINESS
69380.59,34852.234,FEAR
-11541.194,45590.81,FEAR
25160.926,-8305.3125,SADNESS
55489.375,35449.848,SADNESS
-20540.203,31084.744,SADNESS
-24384.93,1604.5381,HAPPINESS
-70731.195,30659.117,HAPPINESS
-11746.421,31252.857,FEAR
4321.844,22215.863,SADNESS
-55673.598,-10842.435,SADNESS
18261.604,8992.071,HAPPINESS
17677.21,30383.348,SADNESS
-22278.605,39571.75,HAPPINESS
36553.996,3244.9944,FEAR
-41586.55,-10789.441,HAPPINESS
-41398.67,-13956.5625,SADNESS
-23449.627,1460.6667,HAPPINESS
28901.63,8626.876,FEAR
-53537.45,-11721.57,HAPPINESS
25546.453,-4100.82,FEAR
55871.27,-17846.475,ANGER
25664.613,28176.441,SADNESS
-55201.285,-18899.527,HAPPINESS
14830.951,2808.7334,FEAR
22423.184,21207.232,FEAR
-2885.2285,19696.602,FEAR
30151.648,-6557.3164,ANGER
6699.1504,39171.094,HAPPINESS
50167.09,-770.1492,LOVE
19910.908,16342.084,SADNESS
7575.9727,25755.592,SADNESS
-2450.7422,14579.749,SADNESS
54126.047,-12575.828,SADNESS
-42921.73,-36363.418,LOVE
40927.36,-23790.604,HAPPINESS
-3774.5264,10627.881,SADNESS
-15155.396,29373.268,SADNESS
44018.727,-13383.859,HAPPINESS
3870.933,16030.307,LOVE
32492.047,26681.877,HAPPINESS
-1105.9893,5528.975,SADNESS
32717.293,-26593.28,FEAR
17668.541,-19179.682,HAPPINESS
19924.164,26325.299,FEAR
-44295.742,6205.97,LOVE
39040.914,23580.264,ANGER
-76481.88,20098.986,SADNESS
-44859.9,-534.85657,HAPPINESS
17109.674,-21508.902,HAPPINESS
8223.039,-29270.625,SADNESS
18368.143,26616.408,HAPPINESS
17726.72,-4168.4917,FEAR
22491.586,-1535.8174,SADNESS
25127.281,16689.633,LOVE
23007.584,-4390.9927,FEAR
-36166.51,-34480.105,FEAR
-77835.734,28429.38,LOVE
-38022.195,-12625.39,SADNESS
42708.18,-13501.097,SADNESS
-19220.357,-49444.996,FEAR
28314.412,30743.506,ANGER
-74769.8,-1724.2854,LOVE
9810.708,-23113.152,HAPPINESS
-5106.482,-22868.014,ANGER
-30612.367,47998.258,ANGER
-68268.65,-29970.723,LOVE
-61746.47,-13507.339,SADNESS
54632.89,-21299.523,SADNESS
50107.027,3071.4197,FEAR
38831.22,40411.227,LOVE
-19605.08,41754.215,HAPPINESS
-53104.816,-28193.746,HAPPINESS
14267.256,-39628.293,HAPPINESS
51621.6,-44552.258,SADNESS
-65120.523,-19881.402,SADNESS
-8242.64,21689.008,SADNESS
16212.47,625.7663,HAPPINESS
24600.518,28237.236,LOVE
25891.54,15136.812,LOVE
1768.4622,-5448.6885,FEAR
-31168.172,-21935.96,HAPPINESS
12522.255,23678.893,HAPPINESS
-80114.89,23646.193,FEAR
-30089.54,35639.195,HAPPINESS
2997.0312,-40609.65,HAPPINESS
-17215.988,23513.223,HAPPINESS
14538.567,-22178.068,SADNESS
62683.95,23811.309,SADNESS
26834.115,-912.6949,ANGER
-61971.06,24451.81,FEAR
65778.125,9152.136,SADNESS
-36902.73,46199.457,HAPPINESS
1531.6708,-19667.074,SADNESS
62743.82,9719.103,SADNESS
54149.06,2819.2705,LOVE
15336.71,-25192.434,FEAR
-4802.051,-23895.209,SADNESS
-6404.4297,-17773.986,SADNESS
38521.117,4488.102,LOVE
-7750.525,-33800.68,HAPPINESS
-44345.66,-9775.927,SADNESS
39047.875,7561.249,ANGER
-62621.902,-16173.272,ANGER
18522.854,-40596.492,HAPPINESS
-23407.105,-22347.494,SADNESS
-69684.53,-37211.594,LOVE
34112.555,-6671.022,FEAR
39631.543,20695.959,HAPPINESS
22810.22,-51379.062,HAPPINESS
53882.465,23816.932,SADNESS
33375.74,19081.691,HAPPINESS
