PC1,PC2,EmotionLabel,time_offset,subject
12.928043760738683,11.47833822971404,HAPPINESS,3744,sub-01
21.06316134222374,-2.320345300898749,SADNESS,5008,sub-20
9.532178270634033,-6.911416820257115,SADNESS,6828,sub-03
18.855098578110837,16.88307554636781,HAPPINESS,6380,sub-18
9.609900075366989,-12.59564715547472,LOVE,804,sub-08
4.874177383520701,5.4089312130934655,ANGER,3510,sub-11
12.91175928033776,-2.724323994298084,HAPPINESS,6202,sub-17
25.099767841815734,18.59150208294213,HAPPINESS,6534,sub-19
11.792812688606125,3.8721321937309714,LOVE,6360,sub-05
-1.6910181119926988,19.651502162543363,HAPPINESS,1556,sub-09
-9.78602106852724,11.746008683174091,ANGER,1662,sub-18
-8.694612155712178,-8.424403669922588,ANGER,2008,sub-05
7.986604367129576,0.6253373934310122,HAPPINESS,660,sub-05
-27.121027919684536,20.711246902354667,ANGER,902,sub-11
1.7143666591136983,-16.09274458303281,SADNESS,6934,sub-04
15.270506630804585,-18.889200609554276,SADNESS,6864,sub-20
19.979188144644205,12.944490895033445,HAPPINESS,6582,sub-15
-38.85187031967265,1.750145158457336,FEAR,2834,sub-07
-11.091295230850715,11.001665052322943,ANGER,3626,sub-05
31.568795051459343,4.889930334594025,HAPPINESS,5114,sub-07
19.00792801372937,-10.0056711929929,SADNESS,6434,sub-20
-31.385299768257028,4.827989765230269,FEAR,2940,sub-04
6.611244031617328,-15.190220084625052,SADNESS,770,sub-15
-0.92596721272217,22.74168318132761,ANGER,3628,sub-19
13.204396596763894,-24.22555131549902,SADNESS,6876,sub-15
-8.493438512001383,21.81157457618378,ANGER,3504,sub-01
17.552835584243095,-13.875731022960672,SADNESS,6764,sub-09
13.008234644311232,5.071444643905712,HAPPINESS,5516,sub-04
-25.19432250988956,1.8533478924383608,FEAR,2688,sub-04
-7.19545367255968,-0.3270767218485968,ANGER,2022,sub-09
17.861508645536617,-23.784307890595088,SADNESS,5576,sub-07
-27.45569442309044,13.996549655869956,ANGER,904,sub-01
17.09352070068605,-3.3676847756007096,HAPPINESS,5172,sub-17
1.4036193992483894,-21.74082308475932,SADNESS,6874,sub-06
-0.8357751740160198,-1.9719392174995267,FEAR,6374,sub-07
-25.218067259891114,9.909825000779426,ANGER,908,sub-02
31.82334592675286,24.787326259712067,HAPPINESS,5412,sub-05
22.053014027908045,11.243615745947718,HAPPINESS,4624,sub-08
7.587163858371122,14.654409533377711,LOVE,6506,sub-11
15.94377780905558,1.56092945314173,HAPPINESS,5500,sub-08
-5.427713728794058,20.96754520388447,HAPPINESS,1556,sub-14
7.80412039249768,-20.91540600314824,SADNESS,6814,sub-18
19.554245184159395,17.44344865004687,HAPPINESS,2606,sub-06
9.52548047941142,-19.61783023655925,SADNESS,6760,sub-01
-24.853102816619494,11.864733586635204,FEAR,2826,sub-18
14.64772878149832,6.736171335968576,SADNESS,580,sub-09
0.5232181728199179,11.051596179782653,HAPPINESS,3102,sub-05
36.375723098199465,19.90848755607002,HAPPINESS,5302,sub-09
-4.397245391872696,4.449906733977219,ANGER,1664,sub-04
-2.034149918440978,7.990301489378991,HAPPINESS,2604,sub-20
12.92412521415165,-24.307104258540107,LOVE,5634,sub-17
27.117448131648967,19.883458423135824,HAPPINESS,5172,sub-09
13.08452201670199,12.699243939291126,HAPPINESS,5454,sub-01
-36.86335300427999,16.74593924652605,FEAR,2754,sub-06
29.775753421994988,2.7873932280033014,HAPPINESS,3962,sub-08
16.16814813966654,1.6710518699179335,HAPPINESS,5450,sub-04
17.522678369144632,29.439522924000013,HAPPINESS,5488,sub-15
21.775327042097956,-15.15516821994098,SADNESS,5760,sub-07
10.252562879764756,18.48241781630037,HAPPINESS,6498,sub-06
-23.076139849522463,10.805371829341505,FEAR,1210,sub-07
11.30497439744964,-14.344173744922392,SADNESS,6440,sub-14
-29.721708976609904,2.9891736879200668,FEAR,2904,sub-01
14.069163635461711,-17.58952838655938,SADNESS,5744,sub-12
-8.933241895594088,-19.304803429395182,SADNESS,3050,sub-08
-9.214526931679089,-26.525827152040897,SADNESS,2060,sub-16
16.749068006384018,-20.988503025320583,SADNESS,6842,sub-11
19.291888054455036,-7.740385080105346,LOVE,6786,sub-13
28.433920719674983,-1.25840059582824,SADNESS,3790,sub-11
22.11011791739098,-13.282346217186506,LOVE,6700,sub-07
-14.916200790103494,-19.052518665300543,FEAR,2952,sub-14
11.457784773889086,-29.722374422696085,SADNESS,5588,sub-17
-11.743940487663496,-0.2218704832732427,ANGER,1334,sub-07
5.020650161645806,13.988880996684522,HAPPINESS,3548,sub-03
8.067993330037416,-5.664740153204397,SADNESS,5574,sub-15
10.60690993448013,-24.05923149670202,SADNESS,6942,sub-14
-14.90936788047597,11.429545141095108,SADNESS,3064,sub-04
-10.557469674030168,-19.04887081982381,SADNESS,2066,sub-05
5.216235284287194,-10.259667409358547,SADNESS,772,sub-12
23.98306346546372,18.3420710049661,HAPPINESS,4496,sub-14
7.897706417205336,-5.4429471864354735,LOVE,5636,sub-03
-56.38406895490778,-11.758758040465493,FEAR,2728,sub-11
10.447519608855856,-25.955343613441208,SADNESS,6910,sub-15
-1.273058599955892,-13.20572102961061,SADNESS,2128,sub-19
-26.826837466504887,3.265149883606851,FEAR,940,sub-05
-28.59239984920103,4.03496578463032,FEAR,1218,sub-01
-39.14537514851564,6.64639182808742,FEAR,2696,sub-13
22.080805187095255,-6.659330981821521,LOVE,6702,sub-05
-22.059602108268027,13.04192870106219,ANGER,910,sub-04
-6.604028317626502,23.75389750449726,HAPPINESS,3564,sub-01
