,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20
SADNESS,1001.6063565006143,1475.5846573523258,448.7005987397253,277.64384152234715,469.803769844571,473.7769804729187,666.3226235337099,856.3059422363533,3523.2591868897057,1510.2480386603058,1510.2480386603058,424.99383550763224,2031.6170347530735,1754.53546969702,645.0693539627705,1103.4848061456,578.5672153810909,513.8790654928791,312.26605179542764,1913.6892312914742
HAPPINESS,664.5063056514165,1674.2137225585823,398.58648685117953,373.29222592354927,582.2736104655957,237.55226295567607,436.4143464989076,1127.0169728951355,1683.9978950147042,1882.0450467171927,1882.0450467171927,450.9002012757722,1615.548705999158,1209.143434873668,512.9720927027784,1004.0713420394777,460.44737102819215,651.4949712174945,465.7269660394144,1941.189701499943
FEAR,450.5189958143976,743.3733957004986,221.01570267070298,180.78093766484724,93.72484798300025,306.713909554016,182.71570306713045,454.9344037406931,2073.644446099822,859.8480403853428,859.8480403853428,204.11907424372015,1271.1863715010395,541.1119274207156,274.9897624783015,544.5605129935345,206.73624289649283,319.7277039302759,224.6846564248957,520.0048375829695
ANGER,1109.105299774824,1354.618484061894,375.03587237382715,280.8730953463619,464.2219266521698,372.95528929604035,521.2383074002464,617.4664582981344,2962.495410139308,1517.1239629883744,1517.1239629883744,403.7712785354733,931.3922123318538,738.0524602251629,565.5558194743254,551.6344826394167,391.3607283140001,543.3411870401857,286.3148522683481,1440.658453700116
LOVE,1297.1778907319576,1377.586359551351,555.8748529268482,184.6104146862372,370.4737107586473,459.6816147557243,398.4392971638522,559.7253234491953,1160.5719068517342,1276.1014950827712,1276.1014950827712,223.96294668142076,1070.1601803352225,964.0457230311575,596.734009894907,947.2169309996822,290.1620057599372,311.4560102373643,170.2789914659195,930.3233677623305
